OverallPoF,,OverallPoF
1.0,57568,1.0
0.0,9278,0.0
1.0,857,1.0
0.0,59103,0.0
1.0,22564,1.0
1.0,32678,1.0
1.0,34540,1.0
1.0,43079,1.0
1.0,79911,1.0
0.0,85509,0.0
0.0,80725,0.0
1.0,9057,1.0
1.0,6304,1.0
1.0,56411,1.0
1.0,81200,1.0
0.0,90850,0.0
1.0,10282,1.0
1.0,30170,1.0
1.0,53443,1.0
0.0,57595,0.0
0.0,51254,0.0
0.0,80895,0.0
0.0,79804,0.0
0.0,35223,0.0
1.0,23927,1.0
0.0,39610,0.0
0.0,43445,0.0
1.0,3748,1.0
0.0,12471,0.0
0.0,92428,0.0
1.0,52146,1.0
0.0,29228,0.0
0.0,26169,0.0
1.0,40253,1.0
1.0,39998,1.0
0.0,12738,0.0
0.0,46760,0.0
1.0,68806,1.0
1.0,39785,1.0
1.0,55845,1.0
1.0,55943,1.0
0.0,65139,0.0
1.0,64410,1.0
0.0,99915,0.0
1.0,68258,1.0
1.0,88379,1.0
1.0,6380,1.0
0.0,9486,0.0
0.0,8737,0.0
1.0,26443,1.0
0.0,8041,0.0
1.0,8634,1.0
1.0,90475,1.0
0.0,20565,0.0
1.0,59879,1.0
1.0,31384,1.0
1.0,51017,1.0
1.0,20844,1.0
0.0,41939,0.0
0.0,33360,0.0
1.0,60976,1.0
0.0,15497,0.0
1.0,12268,1.0
1.0,80143,1.0
1.0,84321,1.0
1.0,78664,1.0
0.0,85423,0.0
1.0,52238,1.0
0.0,50558,0.0
1.0,30372,1.0
1.0,63404,1.0
0.0,11919,0.0
1.0,36942,1.0
1.0,93239,1.0
1.0,42546,1.0
0.0,53275,0.0
1.0,92324,1.0
1.0,65642,1.0
0.0,53231,0.0
1.0,83271,1.0
1.0,34574,1.0
0.0,35025,0.0
0.0,97135,0.0
0.0,8850,0.0
0.0,24891,0.0
1.0,89954,1.0
1.0,3648,1.0
0.0,34819,0.0
0.0,49739,0.0
0.0,29378,0.0
1.0,87059,1.0
0.0,69233,0.0
0.0,65348,0.0
1.0,95813,1.0
1.0,56154,1.0
0.0,15490,0.0
1.0,24302,1.0
1.0,94693,1.0
1.0,65814,1.0
1.0,33457,1.0
0.0,75178,0.0
1.0,6588,1.0
1.0,20493,1.0
0.0,3330,0.0
0.0,95931,0.0
1.0,43411,1.0
1.0,35607,1.0
1.0,62646,1.0
0.0,29468,0.0
0.0,57908,0.0
1.0,69045,1.0
1.0,66390,1.0
0.0,10217,0.0
0.0,78351,0.0
1.0,32927,1.0
0.0,94578,0.0
0.0,39399,0.0
1.0,99160,1.0
1.0,83988,1.0
0.0,49127,0.0
1.0,50198,1.0
0.0,12670,0.0
1.0,28153,1.0
1.0,88008,1.0
1.0,27608,1.0
1.0,37692,1.0
0.0,95214,0.0
1.0,15158,1.0
1.0,31030,1.0
1.0,51363,1.0
0.0,26181,0.0
1.0,75858,1.0
0.0,83070,0.0
0.0,10207,0.0
0.0,72163,0.0
1.0,1583,1.0
0.0,27079,0.0
1.0,97300,1.0
0.0,33490,0.0
0.0,31455,0.0
1.0,64912,1.0
1.0,22726,1.0
1.0,46429,1.0
1.0,6569,1.0
1.0,39344,1.0
0.0,42801,0.0
1.0,1542,1.0
1.0,49907,1.0
0.0,92964,0.0
0.0,18956,0.0
0.0,69361,0.0
0.0,11868,0.0
0.0,82254,0.0
0.0,60147,0.0
1.0,27748,1.0
1.0,44746,1.0
0.0,32306,0.0
1.0,29051,1.0
1.0,16203,1.0
1.0,41448,1.0
0.0,13662,0.0
1.0,78122,1.0
0.0,6274,0.0
1.0,29732,1.0
1.0,5579,1.0
0.0,42062,0.0
0.0,78721,0.0
1.0,89146,1.0
0.0,15815,0.0
0.0,5574,0.0
0.0,49596,0.0
1.0,57357,1.0
0.0,60088,0.0
1.0,97721,1.0
1.0,33512,1.0
1.0,56719,1.0
0.0,75127,0.0
1.0,46427,1.0
0.0,58352,0.0
0.0,85326,0.0
0.0,65299,0.0
0.0,14281,0.0
1.0,52721,1.0
0.0,88611,0.0
0.0,76047,0.0
0.0,88581,0.0
0.0,81214,0.0
0.0,14242,0.0
0.0,47574,0.0
0.0,6900,0.0
1.0,17854,1.0
0.0,98324,0.0
1.0,38775,1.0
1.0,45866,1.0
1.0,4748,1.0
0.0,11849,0.0
0.0,89066,0.0
0.0,87499,0.0
0.0,78004,0.0
0.0,73204,0.0
1.0,92088,1.0
1.0,71120,1.0
1.0,60481,1.0
1.0,80582,1.0
1.0,82607,1.0
1.0,65077,1.0
0.0,68772,0.0
0.0,84163,0.0
0.0,19358,0.0
0.0,36451,0.0
0.0,74619,0.0
0.0,91853,0.0
1.0,82448,1.0
0.0,79125,0.0
0.0,53306,0.0
1.0,52341,1.0
1.0,39028,1.0
0.0,4068,0.0
0.0,70943,0.0
0.0,89598,0.0
1.0,41195,1.0
1.0,64495,1.0
0.0,6728,0.0
0.0,53692,0.0
0.0,49485,0.0
0.0,63518,0.0
1.0,24450,1.0
1.0,97234,1.0
0.0,9150,0.0
1.0,82574,1.0
1.0,56972,1.0
1.0,77973,1.0
0.0,44572,0.0
1.0,42143,1.0
0.0,98201,0.0
0.0,81733,0.0
1.0,52716,1.0
0.0,87777,0.0
1.0,78253,1.0
1.0,14067,1.0
0.0,47784,0.0
0.0,17548,0.0
0.0,95002,0.0
1.0,20955,1.0
0.0,9021,0.0
0.0,13381,0.0
0.0,35442,0.0
0.0,43628,0.0
1.0,36757,1.0
1.0,52164,1.0
0.0,72161,0.0
1.0,69497,1.0
1.0,75204,1.0
0.0,11608,0.0
1.0,69584,1.0
0.0,12826,0.0
1.0,75149,1.0
1.0,54393,1.0
1.0,69155,1.0
0.0,70543,0.0
1.0,48033,1.0
1.0,58671,1.0
0.0,93869,0.0
1.0,68662,1.0
0.0,76733,0.0
1.0,20571,1.0
1.0,68639,1.0
0.0,96581,0.0
0.0,23500,0.0
0.0,67905,0.0
0.0,3992,0.0
0.0,67597,0.0
1.0,32085,1.0
1.0,87693,1.0
1.0,52041,1.0
0.0,25913,0.0
0.0,90192,0.0
1.0,30753,1.0
0.0,86480,0.0
1.0,46951,1.0
0.0,47673,0.0
0.0,48026,0.0
1.0,16681,1.0
1.0,16927,1.0
0.0,76164,0.0
1.0,97664,1.0
0.0,41147,0.0
1.0,45203,1.0
0.0,49320,0.0
0.0,965,0.0
0.0,6145,0.0
0.0,79503,0.0
1.0,90161,1.0
0.0,25081,0.0
1.0,83764,1.0
1.0,35946,1.0
1.0,72279,1.0
0.0,3893,0.0
1.0,52762,1.0
1.0,52032,1.0
1.0,35256,1.0
1.0,57367,1.0
0.0,70104,0.0
1.0,83712,1.0
1.0,32583,1.0
1.0,30975,1.0
0.0,7259,0.0
1.0,46790,1.0
1.0,75694,1.0
0.0,17909,0.0
1.0,73836,1.0
1.0,88448,1.0
1.0,4820,1.0
1.0,7494,1.0
1.0,59374,1.0
0.0,98205,0.0
1.0,10842,1.0
1.0,85382,1.0
1.0,7700,1.0
0.0,68161,0.0
0.0,52784,0.0
0.0,88215,0.0
1.0,20058,1.0
1.0,32443,1.0
0.0,7466,0.0
0.0,28472,0.0
0.0,18031,0.0
0.0,95762,0.0
0.0,96557,0.0
0.0,30859,0.0
0.0,34948,0.0
1.0,16977,1.0
0.0,34813,0.0
0.0,81775,0.0
0.0,80682,0.0
0.0,94969,0.0
0.0,45584,0.0
0.0,62398,0.0
0.0,18882,0.0
1.0,57660,1.0
1.0,62688,1.0
1.0,67048,1.0
0.0,17486,0.0
1.0,93778,1.0
1.0,15238,1.0
1.0,23136,1.0
0.0,49173,0.0
1.0,12177,1.0
0.0,88193,0.0
0.0,93963,0.0
1.0,67789,1.0
1.0,64644,1.0
0.0,43002,0.0
1.0,35384,1.0
0.0,73411,0.0
1.0,39687,1.0
1.0,15932,1.0
1.0,74133,1.0
1.0,40393,1.0
1.0,86820,1.0
1.0,62315,1.0
1.0,56811,1.0
0.0,59679,0.0
1.0,26414,1.0
0.0,14368,0.0
1.0,45642,1.0
1.0,35906,1.0
0.0,99657,0.0
1.0,76046,1.0
0.0,60954,0.0
1.0,64813,1.0
1.0,55484,1.0
0.0,75289,0.0
0.0,89225,0.0
0.0,18120,0.0
0.0,54371,0.0
0.0,70774,0.0
0.0,47264,0.0
1.0,2185,1.0
1.0,50340,1.0
0.0,26799,0.0
0.0,41839,0.0
1.0,58873,1.0
0.0,16176,0.0
1.0,23175,1.0
0.0,60745,0.0
0.0,73472,0.0
0.0,65036,0.0
1.0,60685,1.0
0.0,41593,0.0
1.0,35900,1.0
1.0,67044,1.0
1.0,14287,1.0
1.0,39755,1.0
0.0,40226,0.0
0.0,44948,0.0
0.0,18511,0.0
0.0,3551,0.0
1.0,64352,1.0
1.0,41706,1.0
1.0,18753,1.0
1.0,25347,1.0
0.0,7681,0.0
0.0,89280,0.0
0.0,35914,0.0
1.0,4321,1.0
1.0,93945,1.0
1.0,66307,1.0
0.0,42306,0.0
0.0,66668,0.0
0.0,15013,0.0
1.0,10131,1.0
0.0,30175,0.0
1.0,27045,1.0
1.0,69508,1.0
0.0,70249,0.0
1.0,76519,1.0
1.0,22183,1.0
1.0,46194,1.0
1.0,73811,1.0
0.0,26793,0.0
0.0,70792,0.0
0.0,86833,0.0
0.0,77513,0.0
0.0,7501,0.0
0.0,97461,0.0
1.0,27181,1.0
1.0,51654,1.0
1.0,47568,1.0
1.0,73951,1.0
0.0,91173,0.0
0.0,2576,0.0
0.0,50444,0.0
0.0,94054,0.0
0.0,72985,0.0
0.0,93075,0.0
0.0,10966,0.0
1.0,46567,1.0
0.0,46786,0.0
1.0,95696,1.0
0.0,63503,0.0
1.0,61658,1.0
1.0,70995,1.0
0.0,39883,0.0
0.0,63983,0.0
1.0,25431,1.0
1.0,86777,1.0
1.0,21851,1.0
1.0,24004,1.0
0.0,15927,0.0
1.0,81298,1.0
1.0,55365,1.0
1.0,58588,1.0
1.0,51112,1.0
1.0,63478,1.0
1.0,88909,1.0
0.0,94371,0.0
0.0,56092,0.0
0.0,89129,0.0
0.0,53076,0.0
0.0,95941,0.0
0.0,11521,0.0
1.0,65127,1.0
1.0,57855,1.0
1.0,56532,1.0
1.0,94786,1.0
1.0,9679,1.0
0.0,22017,0.0
0.0,34559,0.0
1.0,92909,1.0
0.0,18821,0.0
1.0,11165,1.0
1.0,32196,1.0
0.0,83327,0.0
1.0,35320,1.0
0.0,12745,0.0
1.0,72477,1.0
0.0,54114,0.0
0.0,10510,0.0
1.0,91524,1.0
0.0,8599,0.0
1.0,44772,1.0
0.0,85712,0.0
1.0,41670,1.0
0.0,38138,0.0
0.0,19940,0.0
1.0,62037,1.0
0.0,14806,0.0
0.0,7822,0.0
0.0,23155,0.0
0.0,36452,0.0
1.0,32568,1.0
1.0,83024,1.0
0.0,95162,0.0
0.0,50934,0.0
0.0,70406,0.0
1.0,12231,1.0
0.0,33301,0.0
1.0,95307,1.0
1.0,54979,1.0
0.0,32351,0.0
0.0,33647,0.0
0.0,56326,0.0
0.0,26561,0.0
0.0,69297,0.0
0.0,88141,0.0
0.0,82781,0.0
1.0,21367,1.0
1.0,39955,1.0
0.0,90441,0.0
0.0,69428,0.0
0.0,62508,0.0
1.0,43639,1.0
0.0,7364,0.0
1.0,88970,1.0
1.0,80917,1.0
1.0,58426,1.0
0.0,73760,0.0
1.0,17549,1.0
1.0,37749,1.0
0.0,34915,0.0
1.0,76712,1.0
0.0,82256,0.0
0.0,73595,0.0
0.0,38531,0.0
0.0,18634,0.0
0.0,33042,0.0
0.0,12335,0.0
1.0,70066,1.0
1.0,93898,1.0
1.0,60840,1.0
1.0,49722,1.0
0.0,73115,0.0
1.0,53610,1.0
1.0,26739,1.0
0.0,92415,0.0
0.0,42713,0.0
1.0,94182,1.0
1.0,16660,1.0
0.0,8736,0.0
0.0,30180,0.0
0.0,28425,0.0
1.0,78627,1.0
1.0,71527,1.0
0.0,99506,0.0
0.0,78314,0.0
1.0,67355,1.0
0.0,73125,0.0
0.0,89181,0.0
0.0,58148,0.0
0.0,83157,0.0
1.0,772,1.0
1.0,58165,1.0
0.0,75099,0.0
0.0,30168,0.0
1.0,5796,1.0
0.0,7879,0.0
0.0,92939,0.0
1.0,64740,1.0
1.0,84259,1.0
0.0,42547,0.0
1.0,89655,1.0
1.0,41559,1.0
1.0,44143,1.0
1.0,62672,1.0
1.0,10369,1.0
0.0,26143,0.0
1.0,49284,1.0
0.0,90734,0.0
1.0,2943,1.0
1.0,15122,1.0
1.0,77156,1.0
1.0,47485,1.0
0.0,56812,0.0
0.0,76802,0.0
1.0,53489,1.0
0.0,49954,0.0
0.0,30684,0.0
0.0,20240,0.0
1.0,28576,1.0
1.0,92203,1.0
0.0,663,0.0
0.0,28368,0.0
1.0,25100,1.0
0.0,87992,0.0
0.0,71655,0.0
1.0,99045,1.0
0.0,2311,0.0
1.0,89815,1.0
1.0,78940,1.0
0.0,16052,0.0
0.0,20035,0.0
0.0,60447,0.0
0.0,34330,0.0
1.0,21256,1.0
0.0,98996,0.0
0.0,1266,0.0
1.0,36495,1.0
0.0,5171,0.0
0.0,39645,0.0
0.0,70263,0.0
0.0,23519,0.0
1.0,62178,1.0
0.0,5583,0.0
0.0,98281,0.0
1.0,61095,1.0
0.0,22709,0.0
0.0,47600,0.0
1.0,15594,1.0
0.0,72220,0.0
1.0,9843,1.0
0.0,54796,0.0
0.0,91885,0.0
1.0,45166,1.0
1.0,86184,1.0
1.0,5105,1.0
1.0,61635,1.0
1.0,51986,1.0
0.0,24523,0.0
0.0,50633,0.0
1.0,93601,1.0
0.0,77010,0.0
0.0,10030,0.0
1.0,9510,1.0
1.0,21466,1.0
0.0,10050,0.0
0.0,92929,0.0
0.0,14052,0.0
1.0,40300,1.0
1.0,10048,1.0
1.0,2157,1.0
0.0,68388,0.0
0.0,93697,0.0
1.0,59040,1.0
0.0,40410,0.0
0.0,54583,0.0
0.0,98103,0.0
0.0,38086,0.0
1.0,74655,1.0
0.0,75947,0.0
0.0,14380,0.0
1.0,59043,1.0
0.0,61825,0.0
1.0,33363,1.0
1.0,34796,1.0
1.0,26329,1.0
1.0,781,1.0
0.0,10,0.0
0.0,59570,0.0
0.0,22997,0.0
1.0,83600,1.0
0.0,94469,0.0
1.0,58096,1.0
0.0,59490,0.0
1.0,97600,1.0
1.0,16471,1.0
1.0,43684,1.0
1.0,39024,1.0
0.0,39338,0.0
1.0,18667,1.0
1.0,25124,1.0
0.0,59497,0.0
1.0,69677,1.0
0.0,85424,0.0
0.0,74451,0.0
0.0,51039,0.0
0.0,86436,0.0
0.0,31955,0.0
1.0,77568,1.0
0.0,10150,0.0
0.0,30231,0.0
1.0,18353,1.0
1.0,3025,1.0
0.0,17420,0.0
0.0,21757,0.0
0.0,95273,0.0
0.0,36531,0.0
1.0,62340,1.0
1.0,62560,1.0
0.0,10725,0.0
0.0,92153,0.0
1.0,1224,1.0
0.0,22534,0.0
1.0,45613,1.0
0.0,61579,0.0
0.0,34626,0.0
1.0,13833,1.0
1.0,55235,1.0
1.0,83286,1.0
1.0,59613,1.0
0.0,9267,0.0
0.0,28116,0.0
1.0,59371,1.0
0.0,60354,0.0
0.0,4440,0.0
1.0,7,1.0
0.0,47649,0.0
1.0,12067,1.0
1.0,18019,1.0
0.0,33756,0.0
0.0,67099,0.0
1.0,67231,1.0
0.0,49966,0.0
1.0,45148,1.0
0.0,65323,0.0
1.0,34105,1.0
1.0,17781,1.0
1.0,29493,1.0
0.0,67221,0.0
0.0,93546,0.0
1.0,91197,1.0
0.0,75877,0.0
1.0,84128,1.0
0.0,11666,0.0
1.0,2734,1.0
1.0,57434,1.0
0.0,86988,0.0
1.0,52838,1.0
1.0,53848,1.0
0.0,62513,0.0
0.0,77221,0.0
0.0,22174,0.0
1.0,80686,1.0
0.0,98007,0.0
0.0,82182,0.0
0.0,7603,0.0
1.0,12571,1.0
1.0,15431,1.0
1.0,2703,1.0
0.0,95653,0.0
0.0,4120,0.0
1.0,80207,1.0
0.0,62210,0.0
0.0,46075,0.0
1.0,86347,1.0
0.0,86028,0.0
1.0,86749,1.0
0.0,87147,0.0
0.0,8579,0.0
1.0,54273,1.0
0.0,65843,0.0
1.0,14374,1.0
1.0,69823,1.0
1.0,42867,1.0
0.0,42558,0.0
1.0,12065,1.0
1.0,41715,1.0
0.0,79456,0.0
1.0,32656,1.0
1.0,13498,1.0
0.0,75128,0.0
0.0,36551,0.0
0.0,91441,0.0
1.0,27127,1.0
0.0,82471,0.0
1.0,35921,1.0
1.0,43217,1.0
0.0,8966,0.0
1.0,28083,1.0
0.0,67549,0.0
0.0,9775,0.0
1.0,19441,1.0
1.0,8104,1.0
0.0,60015,0.0
0.0,25172,0.0
1.0,14241,1.0
0.0,29796,0.0
0.0,70363,0.0
1.0,45450,1.0
0.0,93760,0.0
1.0,90916,1.0
0.0,47602,0.0
0.0,51105,0.0
1.0,38061,1.0
0.0,54462,0.0
0.0,53583,0.0
1.0,36949,1.0
1.0,70426,1.0
0.0,18990,0.0
1.0,39790,1.0
1.0,27004,1.0
0.0,24406,0.0
0.0,80538,0.0
0.0,21915,0.0
1.0,98173,1.0
0.0,5292,0.0
0.0,99404,0.0
0.0,62232,0.0
0.0,84085,0.0
0.0,59580,0.0
0.0,10094,0.0
0.0,74423,0.0
1.0,78473,1.0
0.0,96875,0.0
1.0,58707,1.0
0.0,70964,0.0
0.0,42155,0.0
1.0,97681,1.0
1.0,70921,1.0
1.0,35790,1.0
1.0,70490,1.0
1.0,46089,1.0
1.0,35039,1.0
1.0,53658,1.0
1.0,7257,1.0
0.0,21077,0.0
0.0,66835,0.0
0.0,24987,0.0
0.0,84490,0.0
1.0,61422,1.0
1.0,10122,1.0
0.0,34495,0.0
1.0,49682,1.0
0.0,17271,0.0
1.0,61272,1.0
0.0,90613,0.0
0.0,65477,0.0
0.0,86572,0.0
1.0,98859,1.0
1.0,15691,1.0
0.0,26773,0.0
0.0,93870,0.0
0.0,97276,0.0
0.0,18883,0.0
1.0,79354,1.0
1.0,82637,1.0
1.0,96334,1.0
1.0,92606,1.0
0.0,70313,0.0
1.0,23177,1.0
1.0,45425,1.0
0.0,620,0.0
0.0,3300,0.0
0.0,57607,0.0
1.0,67304,1.0
0.0,46409,0.0
0.0,24394,0.0
1.0,64052,1.0
0.0,39522,0.0
0.0,52549,0.0
1.0,95384,1.0
1.0,68292,1.0
1.0,91751,1.0
1.0,7194,1.0
0.0,93557,0.0
0.0,9732,0.0
0.0,49300,0.0
1.0,749,1.0
0.0,88725,0.0
1.0,12254,1.0
0.0,37641,0.0
1.0,89271,1.0
0.0,77804,0.0
0.0,54732,0.0
0.0,66759,0.0
0.0,52842,0.0
1.0,28998,1.0
0.0,4716,0.0
0.0,88355,0.0
0.0,51963,0.0
1.0,4411,1.0
1.0,15782,1.0
0.0,34460,0.0
1.0,37104,1.0
0.0,61523,0.0
1.0,74790,1.0
1.0,73428,1.0
0.0,62202,0.0
0.0,10435,0.0
0.0,95019,0.0
0.0,57794,0.0
1.0,7504,1.0
1.0,58760,1.0
1.0,36190,1.0
0.0,28848,0.0
1.0,79611,1.0
0.0,2987,0.0
1.0,44077,1.0
0.0,45839,0.0
0.0,39429,0.0
0.0,56217,0.0
0.0,83916,0.0
1.0,91951,1.0
0.0,25978,0.0
1.0,9448,1.0
0.0,2361,0.0
1.0,39507,1.0
0.0,47492,0.0
1.0,27931,1.0
0.0,98047,0.0
1.0,56984,1.0
1.0,16204,1.0
0.0,55513,0.0
0.0,48389,0.0
1.0,35400,1.0
0.0,86490,0.0
0.0,55521,0.0
1.0,4649,1.0
1.0,50474,1.0
0.0,69657,0.0
1.0,54315,1.0
1.0,18222,1.0
0.0,55796,0.0
0.0,32763,0.0
0.0,24001,0.0
0.0,72846,0.0
1.0,94917,1.0
0.0,39450,0.0
1.0,65329,1.0
0.0,64064,0.0
1.0,3466,1.0
1.0,26812,1.0
0.0,82698,0.0
1.0,52090,1.0
0.0,91215,0.0
0.0,29110,0.0
1.0,96592,1.0
0.0,6206,0.0
1.0,45083,1.0
1.0,69493,1.0
1.0,14033,1.0
0.0,62675,0.0
1.0,57998,1.0
0.0,6752,0.0
1.0,74275,1.0
1.0,8253,1.0
1.0,20585,1.0
1.0,5922,1.0
1.0,82431,1.0
1.0,83918,1.0
0.0,1569,0.0
1.0,94070,1.0
1.0,93432,1.0
0.0,31605,0.0
0.0,64658,0.0
1.0,67186,1.0
0.0,21879,0.0
0.0,91653,0.0
1.0,12342,1.0
1.0,99208,1.0
1.0,15720,1.0
1.0,12906,1.0
0.0,71030,0.0
1.0,29976,1.0
1.0,57824,1.0
0.0,21286,0.0
0.0,29013,0.0
0.0,16096,0.0
1.0,90114,1.0
1.0,20678,1.0
1.0,28009,1.0
0.0,9184,0.0
1.0,24421,1.0
1.0,5391,1.0
0.0,38156,0.0
1.0,38237,1.0
0.0,32655,0.0
0.0,17405,0.0
0.0,55121,0.0
0.0,62226,0.0
0.0,24397,0.0
0.0,65623,0.0
1.0,65505,1.0
0.0,3367,0.0
1.0,45741,1.0
1.0,52447,1.0
0.0,6084,0.0
1.0,41532,1.0
0.0,89708,0.0
0.0,80450,0.0
0.0,95763,0.0
1.0,99841,1.0
1.0,88285,1.0
0.0,32162,0.0
1.0,9705,1.0
1.0,89338,1.0
0.0,47275,0.0
0.0,85054,0.0
0.0,69824,0.0
0.0,59236,0.0
0.0,84835,0.0
0.0,95378,0.0
0.0,74916,0.0
1.0,22643,1.0
0.0,95587,0.0
0.0,64748,0.0
0.0,76085,0.0
1.0,89057,1.0
0.0,16356,0.0
1.0,28100,1.0
0.0,46637,0.0
1.0,32104,1.0
1.0,29639,1.0
1.0,8961,1.0
0.0,23456,0.0
0.0,79746,0.0
1.0,6289,1.0
0.0,57376,0.0
0.0,62669,0.0
1.0,48481,1.0
0.0,40329,0.0
1.0,17696,1.0
0.0,47838,0.0
1.0,9549,1.0
0.0,58686,0.0
0.0,91697,0.0
0.0,59703,0.0
0.0,67041,0.0
0.0,76531,0.0
1.0,70044,1.0
1.0,72774,1.0
1.0,48671,1.0
0.0,1989,0.0
0.0,98785,0.0
1.0,9776,1.0
1.0,65271,1.0
0.0,61771,0.0
1.0,97798,1.0
0.0,91072,0.0
0.0,3528,0.0
0.0,16772,0.0
1.0,83910,1.0
0.0,10085,0.0
1.0,48891,1.0
0.0,41735,0.0
1.0,74905,1.0
0.0,13862,0.0
0.0,95259,0.0
1.0,7785,1.0
0.0,95057,0.0
0.0,19680,0.0
1.0,31389,1.0
0.0,36171,0.0
0.0,42192,0.0
0.0,25441,0.0
0.0,70578,0.0
1.0,65435,1.0
1.0,55912,1.0
0.0,83046,0.0
0.0,21485,0.0
0.0,47281,0.0
0.0,33012,0.0
0.0,77632,0.0
1.0,31550,1.0
0.0,33675,0.0
0.0,70081,0.0
0.0,24230,0.0
1.0,60034,1.0
0.0,5051,0.0
0.0,23752,0.0
0.0,83213,0.0
1.0,46673,1.0
1.0,93895,1.0
0.0,87789,0.0
1.0,75615,1.0
0.0,93801,0.0
0.0,50673,0.0
0.0,34728,0.0
1.0,33961,1.0
0.0,46195,0.0
1.0,27384,1.0
0.0,62966,0.0
1.0,26197,1.0
1.0,99004,1.0
0.0,66695,0.0
0.0,26432,0.0
0.0,53566,0.0
1.0,84609,1.0
0.0,27922,0.0
1.0,56050,1.0
0.0,46416,0.0
1.0,68072,1.0
0.0,40983,0.0
0.0,52315,0.0
0.0,54860,0.0
1.0,28907,1.0
0.0,40397,0.0
1.0,37558,1.0
0.0,89863,0.0
1.0,29895,1.0
1.0,14039,1.0
0.0,26380,0.0
0.0,83069,0.0
0.0,10185,0.0
1.0,75593,1.0
1.0,92746,1.0
0.0,12206,0.0
1.0,12363,1.0
1.0,75168,1.0
1.0,21102,1.0
0.0,17022,0.0
1.0,37615,1.0
1.0,24164,1.0
1.0,75163,1.0
0.0,99026,0.0
0.0,74625,0.0
1.0,77940,1.0
0.0,6442,0.0
1.0,59259,1.0
1.0,16309,1.0
1.0,41273,1.0
0.0,8826,0.0
0.0,31473,0.0
1.0,76851,1.0
0.0,89087,0.0
1.0,12958,1.0
1.0,25138,1.0
0.0,83578,0.0
1.0,48013,1.0
1.0,68614,1.0
1.0,49988,1.0
0.0,71704,0.0
1.0,28863,1.0
0.0,85030,0.0
1.0,80278,1.0
