,OverallPoF
8000,1
8179,1
7751,1
2519,0
2798,0
2716,0
7184,1
8679,1
1790,0
7892,1
4867,0
622,0
234,0
3943,0
943,0
8222,1
3104,0
7790,1
9547,1
6088,1
6944,1
7009,1
6857,1
9438,1
8259,1
4590,0
4950,0
8356,1
5231,1
8893,1
5910,1
7739,1
7904,1
2139,0
7824,1
3824,0
4519,0
7396,1
919,0
3581,0
8123,1
5395,1
3964,0
6144,1
9806,1
7602,1
6805,1
3141,0
1616,0
4087,0
2620,0
7096,1
2372,0
7786,1
2802,0
2537,0
2745,0
8599,1
825,0
1387,0
703,0
3346,0
1573,0
7987,1
9692,1
8351,1
5562,1
7428,1
1638,0
7130,1
4942,0
548,0
8398,1
1233,0
8061,1
3689,0
9785,1
2294,0
9670,1
2108,0
5880,1
7489,1
4546,0
3396,0
7379,1
3019,0
3747,0
7001,1
5214,1
2263,0
4033,0
5330,1
2603,0
8817,1
9261,1
610,0
1915,0
7345,1
1023,0
3422,0
6614,1
152,1
938,0
7452,1
8757,1
8074,1
6707,1
2954,0
9181,1
5022,0
5800,1
2185,0
9343,1
2529,0
1261,0
715,0
8280,1
4780,0
5945,1
9141,1
6003,1
210,0
3851,0
2572,0
9987,1
4400,0
8849,1
5153,1
5166,1
9297,1
5267,1
1695,0
3575,0
356,0
2389,0
5797,1
6452,1
2424,0
5151,1
6109,1
7716,1
6502,1
6377,1
647,0
730,0
1380,0
1266,0
1223,0
2816,0
2513,0
7461,1
775,0
2993,0
9094,1
8424,1
2017,0
6604,1
6486,1
1522,0
3233,0
9259,1
408,0
5058,1
4189,0
2891,0
3408,0
6674,1
6840,1
7416,1
2938,0
3638,0
3934,0
5074,1
9439,1
8707,1
16,0
522,0
5081,1
2606,0
7275,1
530,0
7422,1
4769,0
4521,0
1020,0
6654,1
1593,0
1781,0
3657,0
4413,0
1142,0
9718,1
9878,1
8219,1
1215,0
4339,0
8080,1
603,0
472,0
8600,1
2281,0
8300,1
9029,1
3623,0
1426,0
1012,0
331,0
7423,1
9869,1
4567,0
6480,1
2121,0
5296,1
3700,0
3331,0
6553,1
6799,1
3582,0
1000,0
505,0
2629,0
6929,1
2397,0
8916,1
9413,1
5522,1
1799,0
6977,1
1875,0
7838,1
4586,0
9400,1
4734,0
307,0
7550,1
1355,0
4561,0
377,0
576,0
6364,1
3690,0
964,0
641,0
9188,1
5548,1
4823,0
3840,0
36,0
1985,0
9813,1
8095,1
8593,1
8407,1
3675,0
6992,1
2030,0
1642,0
2598,0
648,0
6259,1
3821,0
4977,0
1588,0
7857,1
4214,0
4130,0
5954,1
3357,0
3705,0
5661,1
4941,0
1687,0
8613,1
8870,1
4808,0
264,0
8967,1
3008,0
9911,1
1354,0
909,0
9784,1
2402,0
4126,0
3237,0
6741,1
7515,1
8050,1
757,0
8844,1
5674,1
6272,1
5715,1
6770,1
4511,0
1618,0
2579,0
479,0
1961,0
1571,0
2082,0
7537,1
8341,1
4258,0
561,0
9571,1
141,0
1256,0
9802,1
7734,1
9506,1
6744,1
185,0
4211,0
3518,0
1535,0
17,0
5273,1
4174,0
1073,0
2160,0
9121,1
1003,0
182,1
1611,0
6387,1
9588,1
5492,1
7812,1
3725,0
3168,0
5500,1
3039,0
1883,0
1684,0
6731,1
97,0
389,0
1092,0
5039,1
2577,0
4790,0
9665,1
6579,1
1080,0
7525,1
6336,1
3921,0
526,0
7084,1
4319,0
4608,0
7017,1
617,0
31,1
1250,0
9841,1
9713,1
5462,1
2105,0
4827,0
8459,1
2762,0
274,0
518,0
3654,0
2477,0
7056,1
4684,0
1039,0
6588,1
9159,1
2016,0
5776,1
9828,1
3957,0
8805,1
267,0
3911,0
2649,0
9249,1
495,0
545,0
5192,1
7008,1
2019,0
8355,1
1372,0
1406,0
6871,1
9520,1
4885,0
3316,0
1244,0
2508,0
8643,1
1829,0
5032,0
9526,1
4000,0
5931,1
3617,0
1084,0
2354,0
54,0
4707,0
1669,0
8276,1
4594,0
4601,0
6479,1
3553,0
7801,1
303,0
8158,1
7621,1
908,0
1373,0
831,0
3201,0
9480,1
5207,1
3775,0
9454,1
8036,1
3546,0
5607,1
5780,1
8900,1
8685,1
8780,1
5221,1
8607,1
6719,1
3580,0
7131,1
1743,0
9518,1
9548,1
2754,0
8646,1
8697,1
5556,1
9472,1
9535,1
6777,1
9130,1
2682,0
249,0
5699,1
8274,1
8514,1
7141,1
5768,1
277,0
7177,1
7493,1
9834,1
1015,0
4038,0
5807,1
2245,0
9081,1
5553,1
6747,1
2624,0
5519,1
882,0
4389,0
4070,0
1401,0
7320,1
4204,0
4341,0
2357,0
8137,1
7547,1
1525,0
3249,0
9418,1
9531,1
7940,1
428,0
4844,0
2929,0
4793,0
1483,0
3686,0
6033,1
2651,0
6202,1
2258,0
7742,1
7985,1
2811,0
2532,0
3726,0
7109,1
5239,1
1475,0
8239,1
7773,1
7363,1
9039,1
7762,1
316,0
8546,1
4251,0
3304,0
6223,1
8086,1
9225,1
8578,1
2843,0
8690,1
2727,0
1572,0
3995,0
2984,0
3097,0
46,0
1819,0
2361,0
1094,0
5051,1
4445,0
6349,1
1138,0
7371,1
1443,0
2090,0
4709,0
3255,0
1466,0
8224,1
2317,0
2810,0
4816,0
9852,1
1218,0
4433,0
5154,1
9507,1
9542,1
9171,1
8499,1
721,0
9714,1
3641,0
4999,0
3372,0
6186,1
6450,1
9603,1
8761,1
5946,1
459,0
4512,0
5281,1
1838,0
348,0
7815,1
3362,0
6626,1
3870,0
2080,0
1111,0
4061,0
2881,0
1666,0
5506,1
3090,0
8836,1
2822,0
6798,1
9766,1
1184,0
4814,0
3998,0
5925,1
7968,1
9404,1
4855,0
4873,0
1451,0
7152,1
8432,1
6768,1
1746,0
8283,1
4254,0
4196,0
9136,1
4142,0
3288,0
554,0
4627,0
343,0
4952,0
1175,0
4902,0
8445,1
6196,1
8948,1
2172,0
2550,0
1742,0
7725,1
4875,0
4949,0
2884,0
6916,1
2751,0
2702,0
7755,1
1304,0
7220,1
2915,0
8359,1
3932,0
258,0
5390,1
1148,0
8065,1
5627,1
6360,1
1561,0
5380,1
6283,1
6014,1
8497,1
4175,0
5618,1
9264,1
8049,1
7685,1
7624,1
8394,1
8734,1
6914,1
3796,0
9076,1
7636,1
7265,1
4705,0
3293,0
4880,0
6800,1
5913,1
2178,0
8371,1
7871,1
9978,1
5333,1
1864,0
7654,1
4877,0
8230,1
9725,1
3231,0
9152,1
4479,0
1796,0
8195,1
9197,1
2625,0
1524,0
7672,1
7764,1
5921,1
872,0
6892,1
4876,0
4427,0
3570,0
5095,1
5513,1
1619,0
8932,1
2590,0
5845,1
6197,1
2141,0
104,0
4618,0
7344,1
8575,1
9391,1
4805,0
5851,1
1030,0
8823,1
8151,1
3615,0
7417,1
3392,0
5757,1
431,0
4064,0
7902,1
4330,0
885,0
4755,0
4692,0
3169,0
6404,1
7642,1
9715,1
2230,0
4057,0
6804,1
4282,0
695,0
8524,1
3101,0
5259,1
3291,0
3289,0
6000,1
4861,0
7615,1
4117,0
1168,0
3547,0
2922,0
6136,1
9764,1
4263,0
9723,1
7673,1
2821,0
3301,0
9879,1
8693,1
9299,1
7080,1
5247,1
2218,0
9233,1
4509,0
3295,0
4712,0
4872,0
7876,1
6137,1
7309,1
4223,0
605,0
5105,1
9056,1
8525,1
5793,1
3365,0
8797,1
897,0
3948,0
5065,1
5895,1
4190,0
7885,1
3359,0
7338,1
8323,1
600,0
9500,1
8231,1
9268,1
658,0
2406,0
7317,1
2034,0
7145,1
5844,1
8701,1
7351,1
4529,0
8289,1
6108,1
8669,1
8090,1
4763,0
9034,1
6173,1
9608,1
2203,0
3023,0
4743,0
3515,0
7598,1
7946,1
3325,0
2516,0
6499,1
5111,1
8591,1
6374,1
465,0
7586,1
9772,1
6016,1
5426,1
2479,0
8696,1
4725,0
3485,0
2961,0
3568,0
8457,1
1939,0
7299,1
7164,1
3078,0
7503,1
1194,0
1723,0
2243,0
2494,0
7435,1
8189,1
976,0
7337,1
683,0
4079,0
2595,0
7625,1
2157,0
4219,0
8310,1
4683,0
2654,0
7468,1
6458,1
6037,1
4962,0
2733,0
3522,0
1263,0
9008,1
8891,1
2838,0
9945,1
6395,1
3718,0
5531,1
1423,0
7560,1
5775,1
4260,0
7405,1
2591,0
236,0
1791,0
1275,0
2316,0
4979,0
6775,1
2349,0
851,0
2630,0
5959,1
674,0
4704,0
363,0
6482,1
4589,0
1773,0
4792,0
567,0
3844,0
2902,0
3439,0
6253,1
4305,0
6218,1
6247,1
9266,1
7829,1
9174,1
5234,1
5648,1
7310,1
9332,1
1869,0
7532,1
160,0
3021,0
7369,1
7590,1
4213,0
6079,1
6045,1
3791,0
10000,1
3799,0
7173,1
821,0
7123,1
9371,1
9621,1
2070,0
8941,1
4864,0
8146,1
7111,1
1878,0
4072,0
3807,0
9965,1
9207,1
1283,0
321,0
3971,0
7291,1
4869,0
1431,0
8898,1
9579,1
6052,1
6057,1
2467,0
8899,1
4147,0
668,0
7302,1
8005,1
2162,0
6782,1
7227,1
5626,1
5886,1
7438,1
2656,0
9652,1
9238,1
6848,1
6113,1
6239,1
3517,0
3656,0
5381,1
8976,1
2553,0
8166,1
6915,1
3836,0
7562,1
2287,0
2200,0
2306,0
8025,1
4048,0
486,0
6421,1
4542,0
9707,1
1147,0
8248,1
6308,1
8909,1
8873,1
454,0
985,0
5587,1
9244,1
5485,1
6818,1
838,0
59,1
8071,1
3105,0
4498,0
6617,1
7861,1
1025,0
9445,1
4625,0
7951,1
7100,1
2096,0
175,0
8946,1
722,0
9751,1
799,0
1817,0
4937,0
7992,1
7669,1
6475,1
8662,1
8030,1
1802,0
1680,0
874,0
2720,0
5228,1
7863,1
4237,0
3379,0
7677,1
6652,1
1731,0
1558,0
8107,1
9256,1
8246,1
1697,0
3838,0
5372,1
739,0
5689,1
7316,1
6226,1
732,0
2773,0
1292,0
6870,1
8434,1
1019,0
452,0
437,0
4687,0
746,0
8965,1
7887,1
4269,0
1056,0
283,0
6295,1
8441,1
3937,0
6312,1
1520,0
9842,1
8368,1
4922,0
5326,1
8013,1
4052,0
2864,0
4945,0
8776,1
7365,1
9217,1
3949,0
9576,1
1464,0
9143,1
1852,0
3195,0
4485,0
4706,0
5019,0
3832,0
3678,0
766,0
253,0
8627,1
6703,1
9032,1
3084,0
1824,0
8660,1
8405,1
4114,0
410,0
2912,0
6423,1
6129,1
6686,1
2454,0
8887,1
7097,1
1624,0
7195,1
7407,1
1681,0
6824,1
1544,0
2127,0
3632,0
2240,0
8762,1
8410,1
166,0
8131,1
4544,0
4448,0
9318,1
4983,0
1187,0
221,1
186,0
5702,1
450,0
6718,1
3855,0
2522,0
5324,1
9502,1
1010,0
9078,1
6323,1
6822,1
3353,0
3736,0
9906,1
1713,0
2075,0
1303,0
5606,1
9650,1
9517,1
1846,0
3771,0
6027,1
1663,0
9969,1
1126,0
8159,1
8361,1
226,1
5179,1
4620,0
8729,1
1332,0
1409,0
7924,1
1211,0
4067,0
512,0
6563,1
3018,0
3108,0
1554,0
1371,0
3481,0
9329,1
723,0
3251,0
3446,0
7237,1
6228,1
6643,1
9819,1
5698,1
928,0
7950,1
386,0
2792,0
7750,1
1863,0
5441,1
4013,0
8945,1
7666,1
2524,0
7170,1
9135,1
9146,1
8867,1
7821,1
8237,1
8149,1
8853,1
5427,1
2130,0
9326,1
9606,1
8911,1
4208,0
7459,1
9638,1
4008,0
6020,1
559,0
6205,1
3040,0
988,0
9344,1
6705,1
9825,1
8858,1
6889,1
83,0
4833,0
1734,0
7117,1
1995,0
8996,1
5637,1
3607,0
5337,1
1527,0
1541,0
9618,1
2670,0
3509,0
4733,0
243,0
2396,0
1107,0
196,0
3000,0
1716,0
6622,1
1836,0
7860,1
4644,0
8511,1
7930,1
3443,0
2747,0
214,0
1810,0
8141,1
3842,0
9997,1
9811,1
7700,1
3124,0
1183,0
6716,1
1135,0
9004,1
7978,1
972,0
9609,1
2128,0
7296,1
3636,0
9028,1
2468,0
8268,1
8250,1
5604,1
2612,0
4720,0
2437,0
2012,0
4410,0
9016,1
1721,0
4320,0
3814,0
9920,1
2277,0
8798,1
5691,1
3695,0
8489,1
1285,0
4504,0
9330,1
3865,0
2873,0
6335,1
4696,0
2478,0
9822,1
8298,1
2834,0
2657,0
8275,1
1209,0
2945,0
3600,0
7891,1
2772,0
5486,1
3843,0
8733,1
3,0
2766,0
1305,0
2065,0
7935,1
4635,0
9428,1
2914,0
8469,1
8193,1
4714,0
8386,1
3448,0
292,0
6640,1
6307,1
6519,1
9302,1
1688,0
3014,0
9240,1
8206,1
5863,1
3205,0
9639,1
9001,1
7981,1
7910,1
5424,1
4489,0
5991,1
8291,1
9977,1
4012,0
3592,0
7517,1
3633,0
1287,0
8194,1
3897,0
5668,1
7068,1
7858,1
1416,0
6208,1
1762,0
6397,1
4051,0
1412,0
1459,0
5488,1
246,0
4963,0
4538,0
9846,1
4636,0
6444,1
6715,1
1352,0
2764,0
870,0
3420,0
9467,1
3672,0
2934,0
3490,0
9447,1
2498,0
6637,1
5598,1
2123,0
261,0
4652,0
7450,1
9037,1
3423,0
2724,0
4173,0
9432,1
385,0
2512,0
2767,0
5062,1
3010,0
7484,1
3339,0
1234,0
7263,1
8952,1
2488,0
8580,1
5328,1
9147,1
8382,1
511,0
1606,0
5680,1
6921,1
3458,0
7741,1
6801,1
6365,1
1176,0
6551,1
4722,0
9697,1
1577,0
8665,1
3987,0
9098,1
9086,1
5701,1
8808,1
8794,1
2434,0
3468,0
4294,0
4843,0
8760,1
8512,1
8465,1
1235,0
1196,0
3923,0
5144,1
6842,1
1776,0
8801,1
9762,1
9079,1
3552,0
3194,0
3778,0
5599,1
3773,0
8200,1
3801,0
4992,0
2848,0
4329,0
7655,1
6104,1
9756,1
8787,1
6638,1
262,0
1603,0
5215,1
4429,0
371,0
7761,1
4345,0
4817,0
483,0
8831,1
6177,1
5811,1
1675,0
5262,1
1445,0
466,0
8726,1
7933,1
4399,0
3867,0
6268,1
1644,0
6528,1
406,0
3884,0
5758,1
5199,1
1699,0
2120,0
8423,1
2374,0
4358,0
6105,1
9423,1
3758,0
1714,0
4721,0
2866,0
1665,0
6273,1
4231,0
8373,1
2913,0
329,0
9072,1
1165,0
2081,0
6184,1
6609,1
3698,0
8851,1
3469,0
18,0
8162,1
1405,0
767,0
6911,1
3625,0
7374,1
4374,0
9285,1
846,0
2855,0
800,0
5409,1
4249,0
3889,0
496,0
3910,0
5903,1
122,0
2370,0
1686,0
4098,0
3440,0
3688,0
4496,0
3253,0
901,0
4701,0
517,0
7646,1
8452,1
9157,1
1262,0
4939,0
2769,0
6441,1
7961,1
4473,0
5300,1
3389,0
7698,1
3534,0
9111,1
5173,1
4959,0
3397,0
5181,1
4350,0
3905,0
473,0
7151,1
867,0
2426,0
56,0
4719,0
3556,0
7425,1
132,0
1482,0
8039,1
4988,0
2596,0
2839,0
7132,1
2511,0
4791,0
2704,0
4131,0
5159,1
5932,1
7490,1
427,0
9627,1
2168,0
6834,1
3502,0
8145,1
7707,1
4291,0
864,0
1671,0
9904,1
9910,1
9283,1
6751,1
7348,1
5806,1
9935,1
5956,1
8633,1
618,0
1578,0
1816,0
6353,1
7451,1
3165,0
1221,0
5104,1
6447,1
6117,1
4845,0
4698,0
3614,0
8290,1
8077,1
5899,1
1258,0
3045,0
4789,0
3723,0
2202,0
419,0
7027,1
8204,1
9172,1
3118,0
144,1
421,0
1394,0
5230,1
558,0
6899,1
5061,1
417,0
4958,0
8126,1
4444,0
3765,0
1989,0
7817,1
127,1
1189,0
8819,1
8636,1
4524,0
1349,0
7759,1
1425,0
7994,1
6565,1
6534,1
5084,1
3918,0
9363,1
5257,1
1629,0
4539,0
3495,0
24,0
220,0
8888,1
6536,1
1178,0
1070,0
804,0
9655,1
8812,1
2793,0
1859,0
7050,1
3356,0
2140,0
8632,1
7566,1
6262,1
3874,0
6333,1
2559,0
7045,1
3679,0
878,0
4015,0
7931,1
8841,1
7125,1
2367,0
659,0
7053,1
4631,0
8213,1
7534,1
759,0
9191,1
4326,0
8993,1
9779,1
8695,1
8253,1
4364,0
5614,1
6206,1
1760,0
7872,1
2064,0
41,0
7411,1
4066,0
4401,0
5953,1
635,0
1384,0
4233,0
5884,1
8425,1
1315,0
3720,0
9550,1
6738,1
4675,0
8429,1
9170,1
8257,1
2398,0
9311,1
8395,1
7213,1
6570,1
3057,0
3053,0
7033,1
1712,0
7153,1
3500,0
6152,1
5109,1
4285,0
8498,1
8088,1
2442,0
4212,0
150,1
2833,0
6902,1
6601,1
9783,1
1001,0
7385,1
4742,0
4802,0
965,0
7934,1
9659,1
7040,1
2732,0
76,0
6018,1
157,0
5471,1
5871,1
9168,1
9351,1
8488,1
5037,0
4188,0
9958,1
4172,0
3774,0
8411,1
1276,0
2076,0
9966,1
2775,0
8653,1
2333,0
9880,1
5590,1
6171,1
2871,0
184,0
1226,0
2341,0
8966,1
476,0
1705,0
7729,1
4928,0
7102,1
8185,1
3432,0
5906,1
3435,0
4124,0
2768,0
8270,1
4144,0
6209,1
1798,0
4069,0
2877,0
3089,0
2757,0
5449,1
6796,1
8555,1
6533,1
209,0
9314,1
7156,1
5510,1
1592,0
5622,1
5284,1
2282,0
3533,0
8917,1
8466,1
5292,1
4183,0
7304,1
806,0
861,0
9074,1
3120,0
844,0
3525,0
8878,1
532,0
95,0
4774,0
4815,0
4572,0
1634,0
4010,0
7251,1
2315,0
5652,1
2643,0
4390,0
6636,1
9395,1
8884,1
9328,1
1106,0
6772,1
2474,0
3659,0
6164,1
1272,0
3505,0
2831,0
880,0
1608,0
9474,1
4995,0
9064,1
481,0
6015,1
8404,1
2301,0
2094,0
1764,0
7284,1
7920,1
7728,1
3974,0
2324,0
5439,1
5502,1
3429,0
790,0
4593,0
3857,0
9501,1
5843,1
4653,0
5688,1
1494,0
8205,1
9508,1
7346,1
1361,0
1159,0
7504,1
1682,0
2125,0
8705,1
3780,0
1487,0
5434,1
3674,0
5082,1
5367,1
3452,0
1880,0
5158,1
2006,0
4107,0
1874,0
7049,1
2844,0
3388,0
5044,1
574,0
3103,0
9077,1
359,0
8868,1
2161,0
1986,0
9142,1
6229,1
5114,1
5684,1
4115,0
2383,0
9358,1
5524,1
3608,0
7548,1
7536,1
7531,1
5635,1
2304,0
6254,1
910,0
9835,1
5069,1
7193,1
1850,0
5878,1
5523,1
7408,1
9702,1
9539,1
7575,1
3776,0
9921,1
3189,0
4315,0
6047,1
6828,1
7061,1
5554,1
8714,1
1639,0
5123,1
1528,0
7941,1
8963,1
6615,1
9923,1
6158,1
4510,0
7454,1
4216,0
6515,1
338,0
8845,1
1280,0
9310,1
8041,1
7603,1
9998,1
8892,1
192,0
7372,1
7999,1
7283,1
8220,1
4112,0
4378,0
2365,0
3750,0
2959,0
745,0
607,0
5774,1
8752,1
1378,0
5781,1
9632,1
6038,1
4392,0
2907,0
7139,1
9867,1
2728,0
7277,1
7179,1
5612,1
5631,1
1936,0
1344,0
8427,1
9444,1
5203,1
2441,0
1480,0
4268,0
1702,0
6021,1
1848,0
7551,1
8829,1
2809,0
3640,0
159,0
202,0
7694,1
1908,0
6265,1
7582,1
4063,0
9257,1
959,0
9771,1
8731,1
7784,1
4295,0
2271,0
158,0
9138,1
6627,1
9798,1
9523,1
6657,1
6710,1
6077,1
773,0
5483,1
7715,1
5310,1
796,0
8334,1
8051,1
802,0
4128,0
5916,1
7112,1
2029,0
3627,0
3425,0
2752,0
8618,1
4088,0
645,0
5965,1
6103,1
3985,0
3332,0
5985,1
4199,0
681,0
1316,0
9946,1
3349,0
9544,1
2874,0
1331,0
705,0
6087,1
3384,0
5555,1
5766,1
5528,1
176,0
5375,1
2476,0
6221,1
3693,0
2837,0
7442,1
2380,0
5915,1
7627,1
2180,0
5824,1
4466,0
8569,1
6068,1
8215,1
5258,1
7390,1
2325,0
1390,0
7007,1
1562,0
9231,1
4998,0
9419,1
6849,1
4035,0
2700,0
9585,1
9082,1
6313,1
7487,1
8778,1
8740,1
171,0
7556,1
369,0
7635,1
720,0
4776,0
9557,1
6658,1
7418,1
6149,1
4103,0
6318,1
1441,0
654,0
8954,1
3604,0
2194,0
1225,0
9007,1
423,0
3972,0
2174,0
8634,1
1658,0
2010,0
5825,1
9027,1
2208,0
7274,1
7223,1
792,0
282,0
5696,1
5186,1
5723,1
877,0
448,0
8097,1
9195,1
3738,0
3454,0
4281,0
4236,0
3276,0
5425,1
4587,0
2292,0
585,0
8615,1
5834,1
7530,1
3792,0
1307,0
7555,1
311,0
1542,0
2226,0
12,0
5788,1
6116,1
3192,0
9948,1
7844,1
996,0
3514,0
4947,0
7770,1
6855,1
2706,0
3927,0
248,0
6868,1
5551,1
4157,0
616,0
4737,0
8649,1
9553,1
3877,0
8885,1
2981,0
5623,1
7409,1
8409,1
7802,1
672,0
7903,1
8472,1
324,0
1774,0
6750,1
2741,0
3822,0
7889,1
5481,1
6634,1
480,0
155,0
2639,0
1489,0
1081,0
6560,1
3271,0
1337,0
5525,1
2765,0
352,0
948,0
8238,1
1792,0
9273,1
1566,0
1583,0
8872,1
7186,1
3519,0
357,0
788,0
6672,1
3476,0
8047,1
8416,1
8273,1
3034,0
2566,0
2988,0
5348,1
4215,0
6518,1
2518,0
9033,1
3891,0
6437,1
3358,0
3847,0
814,0
1273,0
5150,1
7249,1
7549,1
2818,0
3273,0
7959,1
6073,1
9223,1
930,0
3113,0
2447,0
1201,0
9703,1
9498,1
7370,1
88,0
9234,1
4136,0
4584,0
6436,1
4764,0
1803,0
1689,0
1495,0
760,0
9940,1
9524,1
2363,0
7244,1
8667,1
1765,0
7011,1
6863,1
604,0
4639,0
1842,0
1219,0
4040,0
9019,1
7704,1
2753,0
6352,1
7222,1
5993,1
5064,1
2485,0
3566,0
1991,0
3498,0
7886,1
3541,0
8934,1
1167,0
8874,1
5189,1
6591,1
9478,1
837,0
1814,0
7947,1
3088,0
7718,1
4984,0
8064,1
4019,0
5210,1
7060,1
8907,1
2982,0
9775,1
4227,0
3810,0
3691,0
2079,0
8741,1
6118,1
2394,0
1388,0
327,0
1865,0
2999,0
1170,0
7298,1
415,0
1977,0
6039,1
1761,0
1277,0
1972,0
6981,1
8724,1
3613,0
1920,0
3091,0
5204,1
1492,0
8019,1
5191,1
4657,0
9678,1
1631,0
2122,0
9993,1
5832,1
4836,0
3620,0
3594,0
3371,0
8827,1
3400,0
6661,1
3872,0
6219,1
3077,0
5552,1
1754,0
5864,1
7900,1
5143,1
677,0
6721,1
1471,0
4648,0
4312,0
4711,0
1534,0
5079,1
2045,0
6886,1
339,0
560,0
100,0
8640,1
4221,0
9260,1
3094,0
9916,1
6443,1
9369,1
7118,1
5849,1
2119,0
9734,1
354,0
4853,0
6754,1
1930,0
8075,1
8322,1
7483,1
111,0
7604,1
1856,0
3002,0
8766,1
9716,1
6053,1
3853,0
7804,1
6766,1
3784,0
5411,1
3577,0
5392,1
289,0
2126,0
5936,1
6520,1
4384,0
7564,1
9014,1
2327,0
7135,1
873,0
8066,1
8401,1
2676,0
5761,1
9198,1
2920,0
2487,0
7835,1
1120,0
5404,1
3294,0
3535,0
9959,1
6990,1
10001,1
9334,1
1609,0
3180,0
6356,1
5053,1
8526,1
1751,0
7713,1
8249,1
4302,0
10,1
8926,1
8109,1
2085,0
8042,1
3068,0
1569,0
9280,1
9012,1
401,0
8663,1
6655,1
1298,0
9481,1
6481,1
2500,0
4602,0
1174,0
7261,1
6873,1
5750,1
5360,1
5216,1
6688,1
9490,1
6314,1
4077,0
5128,1
7300,1
5861,1
5025,0
7743,1
3731,0
8040,1
5117,1
6198,1
6250,1
9403,1
6845,1
449,0
3370,0
8536,1
2189,0
649,0
2708,0
3542,0
4523,0
945,0
2054,0
8670,1
2284,0
4014,0
4041,0
5378,1
8454,1
9089,1
3710,0
6456,1
8687,1
1735,0
6531,1
10002,1
5015,0
4228,0
5576,1
7281,1
5995,1
7185,1
2644,0
3761,0
2808,0
6656,1
336,0
8725,1
2050,0
6908,1
756,0
7311,1
4663,0
8091,1
9855,1
5840,1
2760,0
117,0
4205,0
6582,1
8201,1
6971,1
9069,1
5591,1
3387,0
7541,1
9971,1
992,0
6287,1
6986,1
5190,1
2830,0
8233,1
6783,1
4659,0
4735,0
920,0
2943,0
5339,1
7500,1
6321,1
3940,0
2388,0
8846,1
7258,1
4234,0
5739,1
5331,1
4017,0
4795,0
7430,1
61,0
3199,0
497,0
4417,0
8007,1
6461,1
205,1
7826,1
1069,0
9128,1
6795,1
2183,0
3347,0
2193,0
3361,0
456,0
8727,1
754,0
3407,0
4363,0
6852,1
3079,0
5580,1
8556,1
8595,1
6123,1
7514,1
3829,0
2439,0
7005,1
315,0
975,0
5773,1
8644,1
9460,1
3639,0
6278,1
1952,0
952,0
3637,0
5980,1
5898,1
3739,0
1844,0
6125,1
8505,1
4065,0
5268,1
1123,0
7509,1
7327,1
6357,1
4782,0
6285,1
3100,0
1389,0
6445,1
3873,0
